listing_id,marketplace,seller_id,category,price_usd,quantity,reviews_count,rating,posted_date,is_active,risk_score
LIST_000000,Market_B,SELLER_6293,weapons,1447.2166494796822,15,210,0.44981087169087997,2024-01-14,1,0.8332349757154108
LIST_000001,Market_C,SELLER_4002,stolen_data,176.0167679606861,45,204,0.6336517632437744,2024-03-20,1,0.6483614669980629
LIST_000002,Market_D,SELLER_9006,stolen_data,790.5329108976518,45,82,1.4682566294795003,2024-04-14,1,0.12637321266332135
LIST_000003,Market_C,SELLER_1104,weapons,30.76892770696909,30,76,3.7950774337123345,2024-05-27,0,0.3319520941629722
LIST_000004,Market_E,SELLER_5883,forged_documents,384.235760335135,38,438,2.5512506607799343,2024-01-28,0,0.02015555236003841
LIST_000005,Market_E,SELLER_4822,hacking_tools,214.69927361018898,60,139,3.963040682761247,2024-09-21,1,0.2954498081564917
LIST_000006,Market_A,SELLER_8754,weapons,15.230173422130772,32,127,3.774528537985216,2024-09-16,1,0.5702442912614084
LIST_000007,Market_A,SELLER_6413,weapons,533.2652597897068,50,65,2.9356910475383775,2024-05-06,0,0.8052307393468722
LIST_000008,Market_A,SELLER_3842,other,1433.7814232533017,71,420,2.499301005980392,2024-07-24,0,0.5856497736023277
LIST_000009,Market_C,SELLER_1392,drugs,5.4054979971371955,35,241,4.6566043077464,2024-02-06,1,0.03989465572203621
LIST_000010,Market_B,SELLER_7565,weapons,157.65472652186116,97,150,2.8463511130720756,2024-05-31,0,0.2591064598732956
LIST_000011,Market_A,SELLER_5976,forged_documents,608.0323802854965,76,54,2.4141199230785477,2024-11-09,1,0.5780616814523051
LIST_000012,Market_A,SELLER_5313,forged_documents,1024.9558322258993,87,146,4.34560404769918,2024-08-29,1,0.7090477216027237
LIST_000013,Market_E,SELLER_3200,forged_documents,105.8417184360188,5,66,0.35719357376152894,2024-02-07,0,0.8664538500194279
LIST_000014,Market_B,SELLER_9881,hacking_tools,36.67086303388503,31,471,3.280131597589521,2024-11-05,1,0.9676452161421887
LIST_000015,Market_C,SELLER_7090,hacking_tools,4.339476868057176,80,150,0.5651362507986968,2024-09-05,1,0.8917866212924986
LIST_000016,Market_B,SELLER_2660,stolen_data,121.16727665146095,97,3,4.099108139430523,2024-06-14,1,0.4673279868878174
LIST_000017,Market_E,SELLER_4962,weapons,36.99407000384266,53,17,3.963330925248194,2024-09-09,1,0.7469295110947567
LIST_000018,Market_C,SELLER_8521,other,222.66104131642112,1,11,2.5180001712662325,2024-03-04,0,0.24052779977428473
LIST_000019,Market_D,SELLER_7393,forged_documents,290.0215593053746,86,255,3.305220750429964,2024-07-19,1,0.06383079450736773
LIST_000020,Market_A,SELLER_6037,weapons,326.8899754955574,92,34,3.8631084565208234,2024-08-13,0,0.05506901406597575
