actor_id,actor_name,actor_type,associated_country,threat_level,first_seen,last_seen,num_known_transactions,num_known_aliases,confidence_score
ACTOR_00000,Actor_2371,hacker_collective,Brazil,medium,2023-05-24,2024-10-13,94,1,0.35814721990769
ACTOR_00001,Actor_2012,money_launderer,Iran,high,2023-09-28,2024-09-13,352,9,0.8082839837384486
ACTOR_00002,Actor_1006,ransomware_group,Unknown,high,2023-03-06,2024-09-07,369,2,0.8907070997097282
ACTOR_00003,Actor_9379,drug_trafficker,Brazil,medium,2023-08-28,2024-02-24,340,0,0.584083452542262
ACTOR_00004,Actor_5045,drug_trafficker,North Korea,medium,2023-01-10,2024-06-22,420,0,0.5497787729277817
ACTOR_00005,Actor_2623,ransomware_group,China,low,2023-02-28,2024-07-29,205,1,0.7610562990995693
ACTOR_00006,Actor_9254,drug_trafficker,Ukraine,medium,2023-11-22,2024-03-23,56,0,0.3529133225525358
ACTOR_00007,Actor_9632,hacker_collective,Russia,medium,2023-06-18,2024-10-03,231,1,0.5056893272954196
ACTOR_00008,Actor_2367,cybercriminal,Unknown,medium,2023-07-05,2024-02-14,260,0,0.5563489589746287
ACTOR_00009,Actor_1586,drug_trafficker,North Korea,low,2023-11-28,2024-02-24,220,2,0.6630131988215264
ACTOR_00010,Actor_1378,drug_trafficker,North Korea,medium,2023-06-27,2024-05-30,168,8,0.6335984536283066
ACTOR_00011,Actor_3487,cybercriminal,Romania,critical,2023-08-27,2024-02-19,171,8,0.44607629594223874
ACTOR_00012,Actor_4946,hacker_collective,North Korea,critical,2023-03-23,2024-01-05,499,7,0.6785515117043327
ACTOR_00013,Actor_1736,hacker_collective,North Korea,low,2023-01-30,2024-05-30,314,8,0.9481080836207387
ACTOR_00014,Actor_4347,hacker_collective,Brazil,medium,2023-05-09,2024-08-24,318,3,0.3189615232079909
ACTOR_00015,Actor_4238,drug_trafficker,China,low,2023-10-19,2024-06-29,391,7,0.7762146006832706
ACTOR_00016,Actor_9149,drug_trafficker,Iran,low,2023-06-13,2024-01-20,137,4,0.7372963190836161
ACTOR_00017,Actor_9290,hacker_collective,Unknown,medium,2023-03-03,2024-03-25,278,3,0.9470988682981636
